dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,2,c20,ties,validation,3,0.7548413291792659,0.0021405090611136676,1 1 1,0.411,0.068,3.102976347589604,6.29959248674612,0.492567789760693,,
PSM,2,c20,ties,distance_matched,3,0.7717351591273206,0.003262140554980389,dm dm dm,0.411,0.068,5.410486657668058,6.29959248674612,0.8588629612234957,,
PSM,2,c20,ties,oracle,3,0.7782445136540002,0.0025467288684874554,3 3 3,0.411,0.068,6.29959248674612,6.29959248674612,1.0,,
PSM,2,c20,ties,base,3,0.7321237038147959,0.0030087814030774207,0 0 0,0.411,0.068,0.0,6.29959248674612,0.0,,
PSM,2,c20,iso_c,calibrated,3,0.7417800783455681,0.002279413512927981,2 2 2,0.411,0.068,1.3189539527892462,2.8352313152822335,0.4652015324745913,worse,worse
PSM,2,c20,iso_c,validation,3,0.7528811043319571,0.0028611585689188026,5 5 5,0.411,0.068,2.8352313152822335,2.8352313152822335,1.0,,
PSM,2,c20,iso_c,distance_matched,3,0.745250859686279,0.0021137025106290467,dm dm dm,0.411,0.068,1.793024293993344,2.8352313152822335,0.6324084685185051,,
PSM,2,c20,iso_c,oracle,3,0.7528811043319571,0.0028611585689188026,5 5 5,0.411,0.068,2.8352313152822335,2.8352313152822335,1.0,,
PSM,2,c20,iso_c,base,3,0.7321237038147959,0.0030087814030774207,0 0 0,0.411,0.068,0.0,2.8352313152822335,0.0,,
PSM,2,c20,tsv,calibrated,3,0.7494810499209246,0.0014429810732677528,0.5 0.5 0.5,0.411,0.068,2.3708214903692797,7.001450284040189,0.3386186281681624,worse,worse
PSM,2,c20,tsv,validation,3,0.7632772098323439,0.002811050127061173,1 1 1,0.411,0.068,4.255224336436582,7.001450284040189,0.6077632724374791,,
PSM,2,c20,tsv,distance_matched,3,0.767410934097927,0.0031968389371459472,dm dm dm,0.411,0.068,4.819845348438239,7.001450284040189,0.6884067090249973,,
PSM,2,c20,tsv,oracle,3,0.7833829809550624,0.00215806186337952,3 3 3,0.411,0.068,7.001450284040189,7.001450284040189,1.0,,
PSM,2,c20,tsv,base,3,0.7321237038147959,0.0030087814030774207,0 0 0,0.411,0.068,0.0,7.001450284040189,0.0,,
PSM,2,c30,ta,calibrated,3,0.8092639512596355,0.0018972507804095784,0.5 0.5 0.5,0.519,0.068,1.5538885605719273,1.5538885605719273,1.0,tie,tie
PSM,2,c30,ta,validation,3,0.8092639512596355,0.0018972507804095784,0.5 0.5 0.5,0.519,0.068,1.5538885605719273,1.5538885605719273,1.0,,
PSM,2,c30,ta,committed,3,0.8077895648446408,0.0016559247519159176,1 1 1,0.519,0.068,1.3688689838929833,1.5538885605719273,0.8809312447664553,,
PSM,2,c30,ta,distance_matched,3,0.8077895648446408,0.0016559247519159176,1 1 1,0.519,0.068,1.3688689838929833,1.5538885605719273,0.8809312447664553,,
PSM,2,c30,ta,oracle,3,0.8092639512596355,0.0018972507804095784,0.5 0.5 0.5,0.519,0.068,1.5538885605719273,1.5538885605719273,1.0,,
PSM,2,c30,ta,base,3,0.796881303837961,0.004135978635708412,0 0 0,0.519,0.068,0.0,1.5538885605719273,0.0,,
PSM,2,c30,dare,calibrated,3,0.8093898062585004,0.002035498084312966,0.5 0.5 0.5,0.519,0.068,1.5696820041197712,1.5696820041197712,1.0,tie,tie
PSM,2,c30,dare,validation,3,0.8093898062585004,0.002035498084312966,0.5 0.5 0.5,0.519,0.068,1.5696820041197712,1.5696820041197712,1.0,,
