experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
origin_exchange_window_f075,84478_48,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f0875,84470,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f0875,84478_49,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f0875,84478_50,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f10,84470,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f10,84478_51,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f10,84478_52,sum,scale,config.json,0.5,1,bitwise,73,0.0
psm_selection_probe,81419,sum,scale,config.json,1.0,3,bitwise,49,0.0
psmfc_smoke,84469,sum,scale,config.json,1.0,3,bitwise,73,0.0
segsweep_etth1_merge_n2,79870,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
segsweep_etth1_merge_n2,79871,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
segsweep_etth1_merge_n2,79872,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
segsweep_etth1_merge_n5,79873,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
segsweep_etth1_merge_n5,79917,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
segsweep_etth1_merge_n5,79918,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
segsweep_exchange_merge_n2,79883,sum,scale,merge_scale/selected,0.7,2,bitwise,73,0.0
segsweep_exchange_merge_n2,79884,sum,scale,merge_scale/selected,0.7,2,bitwise,73,0.0
segsweep_exchange_merge_n2,79922,sum,scale,merge_scale/selected,0.7,2,bitwise,73,0.0
segsweep_exchange_merge_n5,79885,sum,scale,merge_scale/selected,0.3,5,bitwise,73,0.0
segsweep_exchange_merge_n5,79886,sum,scale,merge_scale/selected,0.3,5,bitwise,73,0.0
